id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2559009,"Oceanfront, dock/pool/AC-Lauras Lookout-3 bed/2 ba",13100806,Velento,Belize,Belize Islands,17.736036,-88.02671,Entire home/apt,1000,1,108,2025-03-03,0.81,19,281,12,
2559733,Oceanfront 2 bed w/dock/pool/AC-free paddle boards,13100806,Velento,Belize,Belize Islands,17.736036,-88.02671,Entire home/apt,813,1,70,2025-01-31,0.53,19,316,10,
2597828,"A4: Bikes, kayaks, beach, pool, more! 2BR+loft",1120393,Barbara,Belize,Belize Islands,17.89207,-87.97903,Entire home/apt,746,3,29,2025-02-10,0.24,24,285,6,
2607709,"B1 Beach, porch, pool, bikes, kayaks! 3BR",1120393,Barbara,Belize,Belize Islands,17.89198,-87.97914,Entire home/apt,611,3,60,2025-03-11,0.50,24,214,10,
2617750,Villa Boscardi-1 Bedroom King Suite,13406334,Francoise,Belize,Belize Mainland,17.51494,-88.21504,Private room,262,1,96,2024-08-05,0.73,8,329,1,
2677601,Finca Beachfront House and Cabana-2 dwellings,1512929,Andrea,Stann Creek,Stann Creek Mainland,16.53013,-88.36113,Entire home/apt,381,2,21,2023-04-17,0.16,4,348,0,
2746814,OASI Apartment Rentals Apt #4,14053182,Luciana,Belize,Belize Islands,17.73634,-88.02801,Entire home/apt,227,2,190,2025-03-03,1.53,4,333,20,
2751904,OASI Apartment Rentals Apt #3,14053182,Luciana,Belize,Belize Islands,17.73585,-88.02804,Entire home/apt,252,2,150,2025-03-08,1.16,4,344,10,
2752709,Cosmopolitan Guest House,14080482,Emily Peggy,Stann Creek,Stann Creek Mainland,16.851980209350586,-88.2794189453125,Private room,135,1,51,2024-01-24,0.39,3,155,0,
2811841,OASI Apartment Rentals Apt #1,14053182,Luciana,Belize,Belize Islands,17.73634,-88.02801,Entire home/apt,223,2,185,2025-03-08,1.40,4,338,33,
2947838,Dolce Cabana cozy 1BR with full kitchen & pool,15048631,Nicole,Stann Creek,Stann Creek Mainland,16.5207,-88.37208,Entire home/apt,162,3,111,2024-01-19,0.92,3,0,0,
2967946,Oceanview/pool/Dock/AC-Barbaras Beach House-3 bed,13100806,Velento,Belize,Belize Islands,17.736036,-88.02671,Entire home/apt,954,1,125,2024-12-26,0.95,19,274,9,
3220246,Axios Nice 1Bedroom with A/C+WiFi,9968080,Alexis & Scott,Belize,Belize Islands,17.74357,-88.025,Entire home/apt,1136,1,128,2025-03-02,0.98,8,248,5,
3307135,"A5 Beach, balconies, views, pool & more! 2BR+loft",1120393,Barbara,Belize,Belize Islands,17.8922,-87.97889,Entire home/apt,611,3,3,2024-12-13,0.04,24,288,2,
3440100,Axios Caye Caulker Apartment w AC,9968080,Alexis & Scott,Belize,Belize Islands,17.743789672851562,-88.0241928100586,Entire home/apt,920,2,140,2025-02-25,1.07,8,349,24,
3594049,#12 Gran Mestizo Premium Riverside Cabin,18105807,Orlando,Orange Walk,Orange Walk,18.06982,-88.55494,Entire home/apt,162,1,72,2025-03-05,0.58,3,277,13,
3702090,Waterfront 6 BR Villa w/ Private Plunge Pool,8003973,Corrina,Belize,Belize Islands,17.92407,-87.98185,Entire home/apt,2542,3,60,2025-01-31,0.53,15,329,9,
3704445,OASI Apartment Rentals Apt #2,14053182,Luciana,Belize,Belize Islands,17.73634,-88.02801,Entire home/apt,230,2,255,2025-03-14,2.03,4,334,24,
3789407,"Blue Tang Inn, San Pedro, Ambergris Caye",19450284,Kristin,Belize,Belize Islands,17.92095184326172,-87.96076965332031,Private room,,1,34,2024-03-23,0.34,3,0,1,
3849201,Spare Room,817242,Michael,Cayo,Cayo,17.16411,-89.0691,Private room,113,1,127,2020-02-28,1.00,7,86,0,
3904267,Hummingbird Purple 1st floor tiny house,604999,Bobbi,Belize,Belize Islands,17.73696,-88.02821,Entire home/apt,260,2,112,2025-03-05,0.88,18,17,11,
3905945,"Hummingbird Annex, tiny house by pool",604999,Bobbi,Belize,Belize Islands,17.73609,-88.02876,Entire home/apt,276,2,104,2025-02-16,0.83,18,165,2,
3930450,Casita Verde,817242,Michael,Cayo,Cayo,17.1639,-89.06947,Entire home/apt,363,1,33,2024-03-31,0.26,7,0,1,
4121595,Cozy 2 BDR cabana with pool and A/C - Starfish,2267459,Tropical Dreams,Belize,Belize Islands,17.7415,-88.02691,Entire home/apt,359,2,232,2025-02-10,1.86,4,326,21,
4121839,One BDR Cabana w/ full kitchen and pool - Conch,2267459,Tropical Dreams,Belize,Belize Islands,17.73767,-88.02804,Entire home/apt,114,2,131,2025-02-14,1.05,4,266,20,
4172736,Dolce Cabana spacious 1BR waterfront with pool,15048631,Nicole,Stann Creek,Stann Creek Mainland,16.52076,-88.3721,Entire home/apt,173,3,107,2023-10-15,0.86,3,0,0,
4190986,Beachfront Baby Blue Cabana,12934670,Mirko,Stann Creek,Stann Creek Mainland,16.85972,-88.28187,Entire home/apt,220,2,20,2024-12-31,0.21,2,345,4,
4208385,"Multiple beach condos-great for groups, weddings!",1120393,Barbara,Belize,Belize Islands,17.89232,-87.9789,Entire home/apt,1513,3,14,2025-03-01,0.13,24,340,3,
4224906,Private Caribbean Seafront Luxury Villa with Pool,10998068,Herbert,Stann Creek,Stann Creek Mainland,16.65661,-88.31202,Entire home/apt,866,3,32,2025-03-02,0.32,10,235,3,
4262174,Tropical jungle experience in Maya Beach,22121955,Herbert,Stann Creek,Stann Creek Mainland,16.61048,-88.35514,Entire home/apt,148,3,33,2025-01-30,0.26,3,305,5,
4304743,Family room on huge jungle property + Maya site,2084006,Lower Dover Jungle Lodge,Cayo,Cayo,17.214599609375,-88.9488754272461,Private room,,1,1,2020-02-10,0.02,7,0,0,
4333646,Casa Blanca 2BR Seaview Apartment at Coconut Row,22501021,Damian,Stann Creek,Stann Creek Mainland,16.862855911254883,-88.28373718261719,Entire home/apt,740,1,18,2022-11-30,0.15,5,311,0,
